category,rank,pmid,pmcid,doi,title,authors_first,journal,year,pub_types,is_open_access,in_pmc,license,cited_by,abstract_snippet,europepmc_url,query
lumbar_puncture_clinical,15,17885251,PMC8134190,10.3174/ajnr.a0634,Symptomatic spinal epidural collections after lumbar puncture in children,Koch BL,AJNR. American journal of neuroradiology,2007,research-article|Journal Article,N,Y,,30,"<h4>Background and purpose</h4>Complications from lumbar puncture (LP) include headache; mild puncture-site pain; and, rarely, subdural, epidural, or subarachnoid hemorrhage. In infants, asymptomatic leakage of CSF documented with ultrasound is common. We report the MR imaging findings and clinical course of 25 symptomatic patients with spinal epidural collections after LP.<h4>Materials and method",https://europepmc.org/article/MED/17885251,"(TITLE:""lumbar puncture"") AND (TITLE:ultrasound OR TITLE:ultrasonography OR ABSTRACT:ultrasound)"
lumbar_puncture_clinical,16,31251163,PMC6817310,10.12788/jhm.3197,Recommendations on the Use of Ultrasound Guidance for Adult Lumbar Puncture: A Position Statement of the Society of Hospital Medicine,Soni NJ,Journal of hospital medicine,2019,"research-article|Research Support, U.S. Gov't, Non-P.H.S.|Consensus Statement|Journal Article|Research Support, N.I.H., Extramural",N,Y,,29,"<h4>Executive summary</h4>When ultrasound equipment is available, along with providers who are appropriately trained to use it, we recommend that ultrasound guidance should be used for site selection of lumbar puncture to reduce the number of needle insertion attempts and needle redirections and increase the overall procedure success rates, especially in patients who are obese or have difficult-to",https://europepmc.org/article/MED/31251163,"(TITLE:""lumbar puncture"") AND (TITLE:ultrasound OR TITLE:ultrasonography OR ABSTRACT:ultrasound)"
lumbar_puncture_clinical,17,25284485,,10.1016/j.ajem.2014.09.014,Optic nerve sheath diameter and lumbar puncture opening pressure in nontrauma patients suspected of elevated intracranial pressure,Caffery TS,The American journal of emergency medicine,2014,Journal Article|Observational Study,N,N,,29,<h4>Objective</h4>The purpose of this study was to determine if patients with nontraumatic causes of elevated intracranial pressure (ICP) could be identified by ultrasound measurement of optic nerve sheath diameter (ONSD). It was hypothesized that an ONSD greater than or equal to 5 mm would identify patients with elevated ICP.<h4>Method</h4>This was a prospective observational trial comparing ONSD,https://europepmc.org/article/MED/25284485,"(TITLE:""lumbar puncture"") AND (TITLE:ultrasound OR TITLE:ultrasonography OR ABSTRACT:ultrasound)"
lumbar_puncture_clinical,18,25863793,,10.1016/j.acra.2014.12.024,Simulation-based educational curriculum for fluoroscopically guided lumbar puncture improves operator confidence and reduces patient dose,Faulkner AR,Academic radiology,2015,Journal Article,N,N,,28,"<h4>Rationale and objectives</h4>Fluoroscopically guided lumbar puncture (FGLP) is a commonly performed procedure with increased success rates relative to bedside technique. However, FGLP also exposes both patient and staff to ionizing radiation. The purpose of this study was to determine if the use of a simulation-based FGLP training program using an original, inexpensive lumbar spine phantom cou",https://europepmc.org/article/MED/25863793,"(TITLE:""lumbar puncture"") AND (TITLE:ultrasound OR TITLE:ultrasonography OR ABSTRACT:ultrasound)"
lumbar_puncture_clinical,19,20169259,,10.1016/s0034-7094(10)70002-7,Use of the ultrasound to determine the level of lumbar puncture in pregnant women,Locks Gde F,Revista brasileira de anestesiologia,2010,Comparative Study|Clinical Trial|Journal Article,N,N,cc by-nc-nd,27,<h4>Background and objectives</h4>An imaginary line connecting both iliac crests is used to determine the vertebral level for lumbar puncture. This line crosses the spine at the level of L4 or the L4-L5 space. This anatomical reference can be inaccurate in a large proportion of patients. The objective of the present study was to determine whether the identification of the L3-L4 space by the physic,https://europepmc.org/article/MED/20169259,"(TITLE:""lumbar puncture"") AND (TITLE:ultrasound OR TITLE:ultrasonography OR ABSTRACT:ultrasound)"
lumbar_puncture_clinical,20,30957031,PMC6422243,10.1136/bmjpo-2018-000412,Ultrasound imaging versus palpation method for diagnostic lumbar puncture in neonates and infants: a systematic review and meta-analysis,Olowoyeye A,BMJ paediatrics open,2019,Systematic Review|systematic-review|Journal Article,Y,Y,cc by-nc,26,"<h4>Importance</h4>Lumbar puncture (LP) failure rates vary and can be as high as 65%. Ultrasound guidance could increase the success of performing LP.<h4>Objective</h4>To summarise the evidence on the use of ultrasound guidance versus palpation method for LP.<h4>Data sources</h4>We searched computerised databases and published indexes, registries and references identified from bibliographies of pe",https://europepmc.org/article/MED/30957031,"(TITLE:""lumbar puncture"") AND (TITLE:ultrasound OR TITLE:ultrasonography OR ABSTRACT:ultrasound)"
lumbar_puncture_clinical,21,29397406,,10.1007/s00247-018-4091-2,Ultrasound-guided lumbar puncture in pediatric patients: technical success and safety,Pierce DB,Pediatric radiology,2018,Journal Article,N,N,,26,<h4>Background</h4>Disadvantages of fluoroscopically guided lumbar puncture include delivery of ionizing radiation and limited resolution of incompletely ossified posterior elements. Ultrasound (US) allows visualization of critical soft tissues and the cerebrospinal fluid (CSF) space without ionizing radiation.<h4>Objective</h4>To determine the technical success and safety of US-guided lumbar punc,https://europepmc.org/article/MED/29397406,"(TITLE:""lumbar puncture"") AND (TITLE:ultrasound OR TITLE:ultrasonography OR ABSTRACT:ultrasound)"
lumbar_puncture_clinical,22,27628617,,10.1111/acem.13099,Prospective Investigation of a Novel Ultrasound-assisted Lumbar Puncture Technique on Infants in the Pediatric Emergency Department,Gorn M,Academic emergency medicine : official journal of the Society for Academic Emergency Medicine,2017,Randomized Controlled Trial|Journal Article,N,N,,25,"<h4>Objective</h4>The objective was to describe a novel ultrasound-assisted lumbar puncture (UALP) technique and to compare it to standard lumbar puncture (SLP) technique in infants.<h4>Methods</h4>A prospective, randomized, controlled study in infants 60 days old and younger undergoing a lumbar puncture (LP) in a pediatric emergency department. Patients with a spinal anomaly or ventriculoperitone",https://europepmc.org/article/MED/27628617,"(TITLE:""lumbar puncture"") AND (TITLE:ultrasound OR TITLE:ultrasonography OR ABSTRACT:ultrasound)"
lumbar_puncture_clinical,23,24775990,,10.1016/j.jemermed.2012.09.149,Ultrasound-assisted lumbar puncture in pediatric emergency medicine,Kim S,The Journal of emergency medicine,2014,Journal Article,N,N,,25,"<h4>Background</h4>Ultrasound-assisted lumbar puncture in the pediatric emergency medicine setting has not been well established, but ultrasound could serve as a valuable tool in this setting.<h4>Objective</h4>To assess whether ultrasound increases provider confidence in identifying an insertion point for lumbar puncture.<h4>Methods</h4>A feasibility study was conducted using a convenience sample ",https://europepmc.org/article/MED/24775990,"(TITLE:""lumbar puncture"") AND (TITLE:ultrasound OR TITLE:ultrasonography OR ABSTRACT:ultrasound)"
lumbar_puncture_clinical,24,22684159,,10.1136/archdischild-2011-301475,Positioning of infants in the neonatal intensive care unit for lumbar puncture as determined by bedside ultrasonography,Öncel S,Archives of disease in childhood. Fetal and neonatal edition,2013,Journal Article,N,N,,25,"Realising the paucity of data in the standardisation of the optimal position for lumbar puncture (LP) in hospitalised neonates, we have designed an observational study to measure the interspinous distance in infants in a university hospital setting. The infants were placed in two lateral recumbent and two upright positions (lateral recumbent without flexing the hips, lateral recumbent with maximal",https://europepmc.org/article/MED/22684159,"(TITLE:""lumbar puncture"") AND (TITLE:ultrasound OR TITLE:ultrasonography OR ABSTRACT:ultrasound)"
lumbar_puncture_clinical,25,33051940,,10.1111/ene.14586,Ultrasound-guided lumbar puncture for nusinersen administration in spinal muscular atrophy patients,Veiga-Canuto D,European journal of neurology,2021,"Research Support, Non-U.S. Gov't|Journal Article",N,N,,22,"<h4>Background and purpose</h4>The purpose was to report the results of ultrasound-guided lumbar puncture for the administration of nusinersen in spinal muscular atrophy (SMA) patients with complex spines.<h4>Methods</h4>Eighteen SMA patients (five children, five adolescents and eight adults) with either severe scoliosis or spondylodesis were evaluated for ultrasound-guided lumbar puncture. Ultras",https://europepmc.org/article/MED/33051940,"(TITLE:""lumbar puncture"") AND (TITLE:ultrasound OR TITLE:ultrasonography OR ABSTRACT:ultrasound)"
difficult_lp_predictors,1,21572316,,10.1097/aln.0b013e31821a8ad4,Ultrasound imaging facilitates spinal anesthesia in adults with difficult surface anatomic landmarks,Chin KJ,Anesthesiology,2011,"Research Support, Non-U.S. Gov't|Randomized Controlled Trial|Journal Article",N,N,,147,<h4>Background</h4>Poor surface anatomic landmarks are highly predictive of technical difficulty in neuraxial blockade. The authors examined the use of ultrasound imaging to reduce this difficulty.<h4>Methods</h4>The authors recruited 120 orthopedic patients with one of the following: body mass index more than 35 kg/m² and poorly palpable spinous processes; moderate to severe lumbar scoliosis; or ,https://europepmc.org/article/MED/21572316,"(TITLE:""lumbar puncture"" OR TITLE:""spinal anaesthesia"" OR TITLE:""spinal anesthesia"") AND (TITLE:difficult OR TITLE:failure OR TITLE:predictors)"
difficult_lp_predictors,2,10781278,,10.1097/00000542-200005000-00022,Predictors of hypothermia during spinal anesthesia,Frank SM,Anesthesiology,2000,"Clinical Trial|Research Support, Non-U.S. Gov't|Journal Article",N,N,,56,"<h4>Background</h4>Body temperature often is ignored during regional anesthesia, despite evidence that hypothermia occurs commonly. Because hypothermia is associated with adverse clinical outcomes, it is important to recognize predictors of hypothermia and to monitor and control body temperature in patients at risk. The current study was designed to determine the predictors of core hypothermia in ",https://europepmc.org/article/MED/10781278,"(TITLE:""lumbar puncture"" OR TITLE:""spinal anaesthesia"" OR TITLE:""spinal anesthesia"") AND (TITLE:difficult OR TITLE:failure OR TITLE:predictors)"
difficult_lp_predictors,3,28302612,PMC7959916,10.3174/ajnr.a5128,Difficult Lumbar Puncture: Pitfalls and Tips from the Trenches,Hudgins PA,AJNR. American journal of neuroradiology,2017,review-article|Review|Journal Article,N,Y,,41,"Lumbar puncture has, for many years, been the responsibility of the internal medicine physician or the neurologist. As more patients have undergone spine surgery and with the current increase in body mass index of the general population, the radiologist has been consulted with increasing frequency to perform lumbar puncture with fluoroscopic guidance. Radiology, in fact, is now the dominant overal",https://europepmc.org/article/MED/28302612,"(TITLE:""lumbar puncture"" OR TITLE:""spinal anaesthesia"" OR TITLE:""spinal anesthesia"") AND (TITLE:difficult OR TITLE:failure OR TITLE:predictors)"
difficult_lp_predictors,4,26001028,PMC4626278,10.1097/aln.0000000000000708,Predictors of Failure of Awake Regional Anesthesia for Neonatal Hernia Repair: Data from the General Anesthesia Compared to Spinal Anesthesia Study--Comparing Apnea and Neurodevelopmental Outcomes,Frawley G,Anesthesiology,2015,"Comparative Study|Research Support, U.S. Gov't, P.H.S.|Research Support, Non-U.S. Gov't|research-article|Multicenter Study|Randomized Controlled Trial|Journal Article|Research Support, N.I.H., Extramural",N,Y,,40,<h4>Background</h4>Awake regional anesthesia (RA) is a viable alternative to general anesthesia (GA) for infants undergoing lower abdominal surgery. Benefits include lower incidence of postoperative apnea and avoidance of anesthetic agents that may increase neuroapoptosis and worsen neurocognitive outcomes. The General Anesthesia compared to Spinal anesthesia study compares neurodevelopmental outc,https://europepmc.org/article/MED/26001028,"(TITLE:""lumbar puncture"" OR TITLE:""spinal anaesthesia"" OR TITLE:""spinal anesthesia"") AND (TITLE:difficult OR TITLE:failure OR TITLE:predictors)"
difficult_lp_predictors,5,30664523,,10.1097/eja.0000000000000956,Pre-operative ultrasonographic evaluation of inferior vena cava collapsibility index and caval aorta index as new predictors for hypotension after induction of spinal anaesthesia: A prospective observational study,Salama ER,European journal of anaesthesiology,2019,Journal Article|Observational Study,N,N,,39,<h4>Background</h4>Hypotension after spinal anaesthesia is a common side effect that may be harmful. Patients' susceptibility to intra-operative hypotension can be affected by many pre-operative factors.<h4>Objectives</h4>The current study aimed to evaluate the efficacy of both pre-operative inferior vena cava collapsibility index (IVCCI) and inferior vena cava to aorta diameter (IVC : Ao) index f,https://europepmc.org/article/MED/30664523,"(TITLE:""lumbar puncture"" OR TITLE:""spinal anaesthesia"" OR TITLE:""spinal anesthesia"") AND (TITLE:difficult OR TITLE:failure OR TITLE:predictors)"
difficult_lp_predictors,7,28094482,,10.23736/s0375-9393.16.11610-4,Real-time ultrasound-guided spinal anesthesia in patients with predicted difficult anatomy,Elsharkawy H,Minerva anestesiologica,2017,Randomized Controlled Trial|Journal Article,N,N,,30,"<h4>Background</h4>There are limited reports of lumbar neuraxial blocks using real-time US in patients with predicted difficulties. We compared the number of attempts to perform spinal anesthesia using real-time US guidance versus landmark technique in patients meeting predefined criteria for difficult spinal anesthesia. We also compared procedure time, block success, patient satisfaction and diff",https://europepmc.org/article/MED/28094482,"(TITLE:""lumbar puncture"" OR TITLE:""spinal anaesthesia"" OR TITLE:""spinal anesthesia"") AND (TITLE:difficult OR TITLE:failure OR TITLE:predictors)"
difficult_lp_predictors,8,21701265,,10.1097/aap.0b013e318217a68e,Spinal anesthesia failure after local anesthetic injection into cerebrospinal fluid: a multicenter prospective analysis of its incidence and related risk factors in 1214 patients,Fuzier R,Regional anesthesia and pain medicine,2011,"Comparative Study|Research Support, Non-U.S. Gov't|Multicenter Study|Journal Article",N,N,,30,"<h4>Background and objectives</h4>Different mechanisms have been proposed to explain spinal anesthesia failure even after LA injection into the subarachnoid space. The aim of this prospective multicenter study was to assess the incidence of spinal anesthesia failure, excluding technical problems, and then to suggest independent factors leading to failure.<h4>Methods</h4>Consecutive spinal anesthet",https://europepmc.org/article/MED/21701265,"(TITLE:""lumbar puncture"" OR TITLE:""spinal anaesthesia"" OR TITLE:""spinal anesthesia"") AND (TITLE:difficult OR TITLE:failure OR TITLE:predictors)"
difficult_lp_predictors,9,16695614,PMC438872,10.1172/jci101962,THE EFFECT OF SPINAL ANESTHESIA ON THE RENAL ISCHEMIA IN CONGESTIVE HEART FAILURE,Mokotoff R,The Journal of clinical investigation,1948,research-article|Journal Article,N,Y,,29,,https://europepmc.org/article/MED/16695614,"(TITLE:""lumbar puncture"" OR TITLE:""spinal anaesthesia"" OR TITLE:""spinal anesthesia"") AND (TITLE:difficult OR TITLE:failure OR TITLE:predictors)"
difficult_lp_predictors,10,7131001,PMC1083170,10.1136/jnnp.45.8.743,Failure of postural manoeuvres to prevent lumbar puncture headache,Hilton-Jones D,"Journal of neurology, neurosurgery, and psychiatry",1982,Clinical Trial|research-article|Randomized Controlled Trial|Journal Article,N,Y,,28,"Diagnostic lumbar puncture was performed on 76 neurological inpatients. They were randomly allocated to one of four bed rest positions for four hours following the procedure (supine and horizontal, prone and horizontal, supine with head-down tilt and prone with head-down tilt) after which they were allowed to get up. There was no substantial or significant difference in the incidence of headache b",https://europepmc.org/article/MED/7131001,"(TITLE:""lumbar puncture"" OR TITLE:""spinal anaesthesia"" OR TITLE:""spinal anesthesia"") AND (TITLE:difficult OR TITLE:failure OR TITLE:predictors)"
difficult_lp_predictors,11,1443490,,10.1111/j.1365-2044.1992.tb03161.x,"Spinal anaesthesia for urological surgery. A survey of failure rate, postdural puncture headache and patient satisfaction",Harrison DA,Anaesthesia,1992,"Research Support, Non-U.S. Gov't|Journal Article",N,N,,25,"A survey was conducted on 100 consecutive patients who underwent spinal anaesthesia in our urology operating theatres. Details of the spinal technique were recorded in the operating theatre. In 25% of patients, more than one attempt at subarachnoid puncture was required and 16% of this group went on to require general anaesthesia. The patients were visited between 24 and 48 h postoperatively by on",https://europepmc.org/article/MED/1443490,"(TITLE:""lumbar puncture"" OR TITLE:""spinal anaesthesia"" OR TITLE:""spinal anesthesia"") AND (TITLE:difficult OR TITLE:failure OR TITLE:predictors)"
difficult_lp_predictors,12,21790522,,10.1111/j.1365-2044.2011.06834.x,Evaluation of pre-procedure ultrasound examination as a screening tool for difficult spinal anaesthesia*,Weed JT,Anaesthesia,2011,Journal Article,N,N,,22,We performed a pre-procedure ultrasound examination of the spine on 60 patients undergoing lower extremity orthopaedic surgery under spinal anaesthesia. We hypothesised that the inability to identify the posterior longitudinal ligament or vertebral body easily with ultrasound would be associated with difficulty placing a spinal anaesthetic. Clinicians blinded to the ultrasound scan performed the i,https://europepmc.org/article/MED/21790522,"(TITLE:""lumbar puncture"" OR TITLE:""spinal anaesthesia"" OR TITLE:""spinal anesthesia"") AND (TITLE:difficult OR TITLE:failure OR TITLE:predictors)"
difficult_lp_predictors,13,10204897,,10.1016/s1098-7339(99)90072-x,The performance of spinal anesthesia is marginally more difficult in the elderly,Tessler MJ,Regional anesthesia and pain medicine,1999,Comparative Study|Journal Article,N,N,,22,"<h4>Background and objectives</h4>We sought to determine if spinal anesthesia is more difficult to perform in the elderly.<h4>Methods</h4>All spinal anesthetics administered over 18 months by 18 anesthesiologists were eligible. We excluded anesthetics for hip fractures and cesarean deliveries. We recorded time to completion, number of spinal needles used, and number of approaches. The patients wer",https://europepmc.org/article/MED/10204897,"(TITLE:""lumbar puncture"" OR TITLE:""spinal anaesthesia"" OR TITLE:""spinal anesthesia"") AND (TITLE:difficult OR TITLE:failure OR TITLE:predictors)"
difficult_lp_predictors,14,17509868,,10.1016/j.ijoa.2006.12.005,Complete failure of spinal anaesthesia in obstetrics,Hoppe J,International journal of obstetric anesthesia,2007,Journal Article|Case Reports,N,N,,21,"Intrathecal anaesthesia, either as a single shot-spinal or as part of a combined spinal-epidural technique, is now widely accepted as the management of choice for caesarean section. It generally produces rapid and predictable anaesthesia, yet occasionally fails for no apparent reason. Four case reports of seemingly inexplicable complete failure of intrathecal anaesthesia are presented, together wi",https://europepmc.org/article/MED/17509868,"(TITLE:""lumbar puncture"" OR TITLE:""spinal anaesthesia"" OR TITLE:""spinal anesthesia"") AND (TITLE:difficult OR TITLE:failure OR TITLE:predictors)"
difficult_lp_predictors,15,8460801,,10.1111/j.1365-2044.1993.tb06907.x,Continuous spinal anaesthesia in acute respiratory failure,Grace D,Anaesthesia,1993,Journal Article|Case Reports,N,N,,19,"A patient with an obstructed femoral hernia and intercurrent respiratory failure was successfully anaesthetised with a continuous spinal technique. The technique provided excellent intra-operative anaesthesia and early postoperative analgesia, whilst avoiding further respiratory compromise. Disconnection of the catheter hub from the catheter prevented prolonged provision of postoperative analgesia",https://europepmc.org/article/MED/8460801,"(TITLE:""lumbar puncture"" OR TITLE:""spinal anaesthesia"" OR TITLE:""spinal anesthesia"") AND (TITLE:difficult OR TITLE:failure OR TITLE:predictors)"
